,earlyAD,lateAD
10730,AC009053.3,AC129510.1
10731,KCNJ9,LRRC3-DT
10732,SYF2,LINC00308
10733,AC012499.1,OR8G5
10734,SLC4A7,LINC01589
10735,AC010157.1,AC093894.1
10736,KIF4A,GRK1
10737,AL121917.1,LINC00322
10738,APOL2,AC100830.3
10739,AC079362.1,AC092431.1
10740,AC110285.1,LINC02845
10741,AC002401.4,AL136164.1
10742,LINC00640,AL355312.4
10743,RPS19,AC104806.2
10744,CKMT1A,AC010973.2
10745,ZNF549,AC244517.7
10746,ACOX3,AC026904.2
10747,MEMO1,AKIRIN1
10748,ENTPD7,PRAMEF14
10749,ZNF330,FP475955.3
10750,RFC2,LPIN2
10751,ANO4,IL17C
10752,RAMP3,YAP1
10753,AC025839.1,AC036176.3
10754,S100A7,NUTM2E
10755,PXK,STC2
10756,AC110285.5,AC099671.1
10757,PSME1,MSMP
10758,MYB,LINC00677
10759,TGIF1,AC117834.2
10760,PWRN2,AC011468.3
10761,LINC02603,CPOX
10762,PRDM14,AC111198.1
10763,DNM2,AC114550.2
10764,AC024588.1,OR4P4
10765,OPRM1,AC000113.1
10766,AC245164.1,LINC00533
10767,AC010969.3,AC115989.1
10768,AL353747.4,SKA2
10769,AC005899.3,OSTN-AS1
10770,FBRS,DEFB133
10771,AC004494.1,MAGED4
10772,MOAP1,BTG3-AS1
10773,ZNF789,TOMM34
10774,AC091563.1,LINC00297
10775,MIR762HG,LINC01673
10776,POTEI,RLN2
10777,AC018904.1,KCNJ8
10778,ATG4D,AC017000.1
10779,SIGLEC9,AL670729.2
10780,ZNF541,LINC02683
10781,LINC00309,AC023194.3
10782,AC092118.2,AL353752.2
10783,CD209,AP000808.1
10784,PLCG1,AL161663.2
10785,AC073288.1,AP000851.1
10786,AL157931.1,AC018637.1
10787,AL031985.3,AL603910.1
10788,RBSN,OR6V1
10789,AL353732.1,AC009163.4
10790,PPP1R27,TRIM51GP
10791,AC015908.2,AL450270.1
10792,TMEM94,PPP2R5D
10793,TAP1,AC090515.5
10794,AL683807.1,AC099509.2
10795,CLDN19,AP001062.2
10796,PAX7,NKX2-6
10797,MRPS17,LYPD3
10798,AC083864.2,DKK1
10799,AC011524.2,AL391069.2
10800,TTC32,OR12D3
10801,AP000317.1,AC116038.1
10802,AC010894.3,TRAJ51
10803,AC093117.1,PCDHB13
10804,AC011377.1,Z84486.1
10805,ZBED3-AS1,AC018814.1
10806,AC139768.1,AC007491.1
10807,SYNGR2,CCL16
10808,CDK7,HIST1H2AJ
10809,AC004870.4,AL391261.4
10810,AF127577.2,CFAP126
10811,AC078795.2,C17orf112
10812,PDF,TRBV7-7
10813,PSMA3-AS1,PRAMEF6
10814,LINC00632,AL133477.3
10815,GRIN3B,KRT7-AS
10816,CD180,AC005702.5
10817,PIH1D3,IGLV5-45
10818,AC114488.2,TRAJ21
10819,MTMR11,AL592464.3
10820,AC093525.6,SPEM2
10821,IFT172,IGKC
10822,AC112206.2,AC073569.2
10823,LINC02680,LINC01692
10824,UQCC3,SERF2
10825,ABHD6,AP001271.1
10826,FZD4,IGHD
10827,C5orf49,LINC00283
10828,MMP21,AC105118.1
10829,LRR1,AC012615.4
10830,MAP3K13,KIRREL3-AS2
10831,LINC02455,AC108075.1
10832,AC005540.1,LINC02205
10833,AL133419.1,AL022313.3
10834,AL138976.2,OR52B6
10835,AC097515.1,CCL19
10836,DNAAF2,LINC02502
10837,CT69,AP000915.1
10838,AC116535.1,APELA
10839,AC107918.6,AP000235.1
10840,AC090246.1,SLC39A12-AS1
10841,AL358933.1,AL355483.2
10842,AC023509.3,EQTN
10843,AC100827.4,CRIP3
10844,AL158163.2,LINC01647
10845,EGLN2,AC008760.2
10846,AL591518.1,EMX2
10847,SREBF2-AS1,ANTXR2
10848,LINC02842,AC008555.2
10849,AGT,RNF26
10850,HLA-E,G6PC
10851,AL137140.1,AC007952.5
10852,ADGRA3,AC073539.1
10853,IL12RB1,AC062029.1
10854,SENP2,AC018767.3
10855,LINC00265,RLN3
10856,ARMCX3-AS1,OR2B6
10857,AC008525.1,AC051635.1
10858,PWWP2B,AL049541.2
10859,PRICKLE1,OR2W3
10860,LEP,AC099314.1
10861,LINC00636,LINC02216
10862,EML3,AC087289.1
10863,HMGA2,AC023078.1
10864,HSPA12A,DEUP1
10865,PCSK6-AS1,AC008763.1
10866,ICAM5,KRTAP19-1
10867,AP005329.3,SPINK4
10868,TMEM171,RERG-AS1
10869,AC084880.4,AC018558.2
10870,TPGS1,HIST1H2AL
10871,FAM207A,AC100781.1
10872,SPAG17,CU638689.4
10873,AC020558.1,AC004241.2
10874,CCDC192,AC003986.2
10875,AL355835.1,AL359081.1
10876,LINC01565,MAFA-AS1
10877,P2RY11,LINC02584
10878,PDLIM2,AC007381.2
10879,MKX-AS1,AC078852.1
10880,C1R,C14orf119
10881,MEGF6,AC097478.1
10882,KIFC1,AL021391.1
10883,CCDC58,SSC5D
10884,AC008840.1,CCL8
10885,LINC02316,AL445363.1
10886,AL050343.3,OR10H4
10887,C1RL-AS1,LINC01300
10888,AL358334.2,AC090821.2
10889,AL139220.2,LINC02230
10890,AC068790.2,RNF130
10891,AC121493.1,AL352979.2
10892,SLC22A31,LINC01772
10893,FTCD,AC100778.3
10894,LINC01630,AC110772.1
10895,ARID3C,AC007610.5
10896,GML,OR2V2
10897,LINC02572,AC012358.1
10898,IER3,LINC00709
10899,MYPN,AL356157.3
10900,METTL8,AP003064.1
10901,ZNF827,NTM-IT
10902,LINC02244,LINC00364
10903,LINC01899,AL512622.1
10904,LIX1L,LINC02181
10905,KANSL3,AC127540.1
10906,PIFO,AL662884.1
10907,AL359881.3,AC122108.2
10908,ZNF426,AC104118.1
10909,MAFIP,KNL1
10910,DPYSL4,HIST2H3D
10911,NAA60,KCNK6
10912,AL136526.1,AC105343.1
10913,MRPL39,BX255923.1
10914,GDF7,AC138466.1
10915,LINC01516,AC007336.1
10916,AC008537.2,AC103739.1
10917,AC008438.1,AL137798.2
10918,CTSL,AC006059.4
10919,MPV17L,AC112722.1
10920,TJP3,FLVCR2
10921,ACR,FGF3
10922,FEZF2,AL442663.3
10923,AL121749.1,AC005062.1
10924,MGMT,AC012640.4
10925,PITPNM2,AC009145.3
10926,FAM242F,LINC00310
10927,EPOR,AC079336.3
10928,LINC02044,AC005786.2
10929,AC067752.1,TBX19
10930,CMTM6,AC239584.1
10931,AC034229.4,GFER
10932,EXT1,AC023825.2
10933,PACRG-AS1,AL606970.4
10934,LINC02288,DAND5
10935,REM2,Z98752.1
10936,AL139381.1,AL049539.1
10937,AC083805.1,CREB3L2-AS1
10938,ZNF783,DUX4
10939,USP24,AP000997.2
10940,EPS8L1,AC016999.1
10941,IL6R-AS1,MMP3
10942,LINC02408,AC093722.1
10943,AC016383.2,RASA3-IT1
10944,CNIH3,AC005529.1
10945,CHGB,AL360169.3
10946,AC027279.1,AC079801.1
10947,ACTA2,AC024559.2
10948,ACOXL,AC073912.2
10949,SNX12,AP002770.1
10950,AP001107.9,FAM25A
10951,CLSPN,FAM138B
10952,FGF14-AS2,STK4-AS1
10953,ANKS3,AC090587.2
10954,AL353803.1,AC079584.2
10955,SLC10A7,RELT
10956,AC002460.2,AC012615.3
10957,ATP23,AC005034.4
10958,AC020637.1,C10orf105
10959,MRS2,AC027682.1
10960,CLK2,FGF18
10961,AC007938.3,AC010998.3
10962,KRT222,AC108467.1
10963,A3GALT2,OR6C4
10964,RRP8,AP001094.1
10965,HRAS,AC017033.1
10966,AC010983.1,LINC01143
10967,PAG1,AC078906.1
10968,C4orf33,AC093838.1
10969,CPNE8-AS1,BOD1L2
10970,PCDHGA10,LINC00557
10971,NDUFAF3,FO704657.1
10972,PITPNB,AC021506.1
10973,MGAT2,AC127459.2
10974,CCNB1IP1,AC090907.1
10975,AC008649.2,AC079384.2
10976,PTOV1-AS1,PRAMEF25
10977,DLL1,GPR32
10978,LOX,CSF2
10979,AC009107.1,DEFB113
10980,RNF114,FAM197Y6
10981,MAPT,AC104561.3
10982,AC060234.1,HIST3H3
10983,ERFE,KRTAP2-3
10984,LINC01413,TRAJ30
10985,AC013652.2,AC136285.2
10986,ZBTB7C,C4A-AS1
10987,GAS6-DT,AL355922.3
10988,CLDN16,AC142086.1
10989,AC132938.2,TRAJ53
10990,NT5DC3,AC005224.1
10991,AC104667.1,AC234771.1
10992,BCAR4,IGLV1-40
10993,AC234582.1,VN1R4
10994,GLRX3,AC109462.3
10995,NLRP12,OR4B1
10996,AL023754.1,AL450469.1
10997,LINC02709,TEX44
10998,HORMAD1,TAF11L13
10999,ZFP90,FAM138F
11000,ENKUR,AC005789.1
11001,EMC1-AS1,GAGE2A
11002,MRPL36,AL161638.2
11003,RFC4,AC025183.1
11004,PIP5K1B,TRBV11-2
11005,LINC01841,LINC01218
11006,COLGALT2,OPN1SW
11007,ANKRD13A,AL031055.1
11008,LHPP,AL445070.1
11009,LINC00836,SPRR2E
11010,AC087393.2,PLCXD1
11011,AP003559.1,AC009075.1
11012,AL117339.4,AL022323.5
11013,AC020913.3,AC246793.1
11014,CCDC14,LINC02383
11015,LINC01561,TMOD4
11016,AL354710.2,AC096543.2
11017,BTN2A2,SAP30L-AS1
11018,AC078906.1,AL354892.1
11019,MTFR1L,AC113410.2
11020,AC004888.1,AC018904.2
11021,SLC22A25,AC021979.1
11022,PANO1,IL18
11023,AC122688.2,Z83818.2
11024,SLC18B1,NR0B2
11025,D2HGDH,AC111182.2
11026,LINC01708,AC063938.1
11027,MAN2C1,AL359732.1
11028,DIRAS1,C10orf99
11029,CLVS1,AC011303.1
11030,JADE2,LINC01813
11031,AC025580.3,AL133297.1
11032,TOR4A,DISC1-IT1
11033,AL139819.1,LINC02104
11034,TRIM10,AC012533.1
11035,AC240565.1,TRAJ2
11036,TUB,TRAJ43
11037,MICALL1,SERPINA4
11038,COIL,FAM243A
11039,KBTBD4,AC034238.3
11040,UGT3A2,DEFA1
11041,MRPS11,OR52M1
11042,RABGAP1L-IT1,TRBV6-4
11043,TMEM14A,TRBV6-1
11044,SKOR1,PRAMEF13
11045,TTC7B,AL451081.1
11046,LINC00457,LRRC30
11047,ISLR2,UGT1A9
11048,TMEM229B,AC021451.3
11049,AL513128.1,OR7G1
11050,AL354950.3,ACTL9
11051,TFB2M,AF111169.1
11052,AL499604.1,HIST1H4G
11053,AC073316.3,AL117348.1
11054,ENTHD1,OR5T2
11055,AL133485.2,OR5F1
11056,ZFX-AS1,OR5I1
11057,VWA7,AL035078.3
11058,IL20,AL159990.2
11059,ZNF181,LINC00462
11060,AL359511.3,AC136628.1
11061,OST4,AC109479.3
11062,IQCD,IGHV1OR15-9
11063,AC013460.1,LINC00226
11064,AC007365.1,AC034223.2
11065,SERPINI2,OR6S1
11066,TEX35,OR4C12
11067,ANKS4B,FAM99B
11068,AC011379.1,TRAV9-1
11069,AL589678.1,AC083841.3
11070,IQCA1,OR4L1
11071,C4A,IGHV3-76
11072,AL359697.1,IGHVIII-67-3
11073,AC092848.2,OR4S1
11074,EBLN2,AC105275.1
11075,PCDHB10,MAGEA2
11076,CNTF,OR5K4
11077,AL512641.1,OR8I2
11078,PLCG2,AC090957.1
11079,C2CD4A,IGHV3-48
11080,AC099542.1,IGHVII-28-1
11081,AC012213.2,IGHVIV-44-1
11082,PKM,IGHV3-41
11083,AC140125.1,AC026462.2
11084,UBE2F,H2BFS
11085,SERPINB9P1,TAF11L8
11086,LCN8,AC020743.3
11087,DCTN4,AC100791.1
11088,MAGEA8-AS1,AC010723.1
11089,COA7,GH2
11090,VPREB3,IGKV1OR2-118
11091,AL080317.1,IGKJ2
11092,AL355377.4,IGKV2-4
11093,ACVR1,IGHJ5
11094,CNOT10,AL359195.1
11095,AC092757.2,AC134978.1
11096,AL161716.1,AQP12A
11097,AP000221.1,OR5J2
11098,WDR38,AC011998.3
11099,SLC13A5,IGHV1-24
11100,AC006063.1,IGHV3-15
11101,RPGRIP1L,IGHV3-64D
11102,C6orf89,TRAJ57
11103,MKRN1,BX284656.2
11104,LPGAT1-AS1,AC093326.2
11105,C3orf22,AC140134.2
11106,MEPCE,AC018865.1
11107,AC124017.1,IGLVIV-64
11108,PCDHGA9,VPREB1
11109,NUTM1,IGLV7-43
11110,AC011374.3,IGLV4-3
11111,AC016825.1,IGLC4
11112,XBP1,OR6B2
11113,AMDHD1,OR2A4
11114,AC008567.3,OR5T3
11115,AL589826.2,AC012055.2
11116,FZD1,OR11H1
11117,AC008592.1,AC097517.1
11118,AC025810.1,AL138918.1
11119,AC019118.2,AP006216.2
11120,HORMAD2-AS1,IGLV3-9
11121,SCML2,KRTAP9-4
11122,AC010320.3,KRTAP9-8
11123,WDR11,KRTAP9-3
11124,AL049749.1,AC009852.1
11125,CPPED1,AC010139.1
11126,AL589787.2,OR2Y1
11127,DSC2,AC017002.2
11128,GAS2L1,AC009804.2
11129,ANXA7,AC084121.12
11130,LINC01389,LCE6A
11131,AGMAT,HIST2H3A
11132,HIST3H2A,CU638689.1
11133,ULBP1,PRR23D1
11134,TOMM5,AC084121.13
11135,ARNT,CGB1
11136,C16orf46,PTPRCAP
11137,RAD17,AC092327.2
11138,KIAA1671,LCE2B
11139,FAM185A,TRBJ1-5
11140,LINC01297,AL022329.3
11141,AL358472.4,DEFB130B
11142,BBOX1-AS1,TRBJ1-6
11143,C11orf54,IGKV2D-28
11144,GJB7,FAM99A
11145,AC007666.2,PRAMEF8
11146,AC246680.1,IGKV1OR-3
11147,LINC02311,OR5L2
11148,C17orf75,AC006455.5
11149,AC004217.1,AC132825.2
11150,ATCAY,LINC01728
11151,AL023495.1,KRTAP4-3
11152,HCFC2,TSPY1
11153,FAHD1,KRTAP4-4
11154,AL136456.1,KRTAP4-5
11155,DEXI,AL592464.1
11156,HIC2,AC079943.1
11157,CTSS,AC018558.6
11158,PRORP,TP53TG3E
11159,STON1,IGKV1D-27
11160,AC129803.1,IGKV2D-29
11161,AC011912.1,IGKV5-2
11162,SLIT1,IGKV2OR2-2
11163,AC092683.1,TRAV18
11164,C15orf48,TRAV22
11165,CLTRN,AC134684.8
11166,TPMT,SSU72P4
11167,CPSF3,OR51G1
11168,AC018731.1,AC006159.2
11169,AC127520.1,AC091588.1
11170,PSORS1C2,CLDN17
11171,ZNF341-AS1,APCS
11172,C11orf95,MAGEA2B
11173,FDPS,KRTAP19-2
11174,UBE2J1,KRTAP26-1
11175,OSBPL9,OR4C16
11176,MDS2,POTEB2
11177,EFCAB14,AC008154.2
11178,FAM167B,AC132660.2
11179,AC011676.3,Z98742.1
11180,AC107375.1,AC022893.3
11181,AC020765.2,AL354714.3
11182,CTSV,GPATCH11
11183,AC090559.2,AC007527.2
11184,AC005180.1,AC104462.2
11185,SSC5D,AC090193.1
11186,CHCHD4,AC012673.1
11187,C18orf54,Z98884.2
11188,C11orf16,IGHG2
11189,DLGAP1-AS2,PGRMC1
11190,AC009509.4,LINC01387
11191,SKAP1-AS1,SMLR1
11192,AL021917.1,IFNG
11193,MAGEH1,TRHDE
11194,AL352984.1,AC007736.1
11195,COL15A1,PGM5-AS1
11196,LINC01123,AC091057.6
11197,VSTM2L,AC092683.2
11198,ZNF20,AC009097.3
11199,RAB23,AL807776.1
11200,AP000787.1,UCMA
11201,AC011444.1,POLE3
11202,AC005234.2,ASB10
11203,AC022915.2,SF3A1
11204,AC138932.5,CD4
11205,NT5C3B,VAC14-AS1
11206,AC135782.1,FAM83G
11207,NOSTRIN,AC092598.1
11208,Z82198.1,CCIN
11209,LNP1,C11orf53
11210,STT3A,AC073591.1
11211,ARAF,AC007003.1
11212,HAGH,AP005057.1
11213,AL049812.3,RNF151
11214,B4GALT4,ABCD1
11215,ANKRD2,LINC02721
11216,AC016245.2,CD101
11217,C7orf77,RSF1-IT2
11218,FHL5,AL136368.1
11219,AC073591.1,AC090398.1
11220,NKD2,AC104985.1
11221,AF067845.2,FAM217B
11222,LINC01778,AL162258.2
11223,FBXW7-AS1,AC068580.5
11224,ENTR1,CEP295NL
11225,TAS2R14,AP000777.2
11226,ZNF512B,IGF2-AS
11227,C1QTNF1-AS1,STATH
11228,BX640514.2,GACAT1
11229,RNH1,DNASE2
11230,SH2D6,AC104117.5
11231,RAC2,AC090844.3
11232,AL357500.1,SSTR5-AS1
11233,TBK1,AC136698.1
11234,LRFN1,CLEC18A
11235,C17orf80,KLB
11236,GRXCR1,AL590282.2
11237,AC007656.2,NAV2-AS4
11238,SETDB1,AC003687.1
11239,AL392023.2,AC020922.2
11240,EFL1,SYTL4
11241,AC012645.1,ARHGAP9
11242,SMG8,FAM240A
11243,ORC1,U91328.3
11244,RTL10,NOC3L
11245,MIR133A1HG,OR2A5
11246,PCDHA11,AC111149.2
11247,AC007953.2,AC073127.1
11248,ABCA7,AL022323.2
11249,ZNF226,AC099554.1
11250,AL137857.1,AC000072.1
11251,LINC02292,AC073539.3
11252,AC009950.1,AL713998.3
11253,LINC00528,GHRH
11254,C22orf31,AC007952.8
11255,AC012615.1,AC010240.3
11256,AC118755.2,AL139420.2
11257,ELMO1-AS1,AL139420.1
11258,PTTG2,SSX7
11259,MIEF2,MEP1A
11260,PHRF1,TRPM5
11261,SETD1B,IL12A
11262,AC092125.2,LINC00919
11263,AC011290.1,AC093642.1
11264,HIC1,KRTAP21-1
11265,COG8,LINC02103
11266,ESPN,TFF2
11267,AC020934.1,AL137078.2
11268,UPK2,LINC00303
11269,AL590550.1,AC106796.1
11270,AL445248.1,AL137802.1
11271,LAMTOR2,GHSR
11272,BABAM2,AC126323.2
11273,C10orf113,PPIAL4H
11274,TNRC6A,AC099489.3
11275,TMEM147,TRHR
11276,AL122008.4,AC107953.2
11277,C2CD6,AC068643.1
11278,TAF12,AP002812.3
11279,ITPRIP,BX640514.1
11280,CELF2,TSGA10IP
11281,KRBOX4,DHRSX-IT1
11282,AC090907.3,AC068580.3
11283,SGO1-AS1,AC006007.1
11284,WDR78,AL022326.1
11285,CDK5RAP2,WIPI1
11286,AC136624.2,Z98257.1
11287,CYP51A1-AS1,TSSK6
11288,SMYD5,AC105177.1
11289,ZDHHC1,TPSG1
11290,POLE2,TRBJ2-7
11291,CRTAM,OR2M5
11292,ACOT13,LINC02747
11293,GCNT3,OR4K1
11294,CRYBB1,AL450226.1
11295,AC010280.3,CASP10
11296,AC018781.1,AC007649.1
11297,KF459542.1,CLCN3
11298,RPUSD4,NCMAP-DT
11299,AC012645.2,TRAV25
11300,AC131159.2,AL513323.1
11301,ZNF202,AP002505.3
11302,GPR87,AL133279.1
11303,AC104634.2,CCDC126
11304,AL020998.1,KCNU1
11305,LINC00167,CNKSR3
11306,AC098818.2,OR5AS1
11307,MLC1,AC091173.1
11308,LINC01843,AC006026.3
11309,AL596188.1,AL135902.2
11310,BBS5,AC100835.2
11311,AC053513.2,TRBV21OR9-2
11312,DBH-AS1,AC040169.4
11313,AL022328.2,AL359399.1
11314,MOSPD2,AC090826.1
11315,IRAK4,AC021818.1
11316,TNFRSF6B,AL022341.1
11317,MZT2A,AC137630.2
11318,ABCC10,AL008726.1
11319,AC245100.1,DSP
11320,AP000777.2,OCLM
11321,CCDC68,SLC2A2
11322,AATBC,OR1E1
11323,DUS2,TDGF1
11324,AP001992.2,AL035250.1
11325,LINC02458,LINC02798
11326,LINC01060,AC073326.2
11327,SMIM25,AC011446.3
11328,GET3,AC061992.2
11329,AC121161.2,AC079380.1
11330,DNAJC15,AC103808.1
11331,DMRT2,DLEU2L
11332,AC074051.5,BX005214.2
11333,PFKL,FOXA2
11334,AC063919.1,AC103681.1
11335,OR4N2,AC108063.2
11336,MPV17L2,OR6M1
11337,UROD,ZNF705D
11338,CERS3,LINC01747
11339,TMPPE,RNF19A
11340,LINC00589,TBX5-AS1
11341,CEP135,APOL5
11342,GLRX5,AC007370.1
11343,S100P,AC009558.2
11344,B3GALT1,AC106744.2
11345,ZNF669,AC099786.1
11346,NENF,TRBV27
11347,BHLHB9,LINC00353
11348,AC007620.2,AC133480.1
11349,TNFRSF1B,FAM197Y7
11350,LCMT1,OR1D5
11351,LINC02378,LINC02064
11352,ODF3B,LINC01691
11353,AC004690.2,TMEM132D-AS2
11354,AC069439.2,FOXP4
11355,MPHOSPH9,GOLGA8G
11356,AC084855.2,APOC3
11357,AP000553.8,AC011479.2
11358,ME3,LINC02297
11359,CLRN1-AS1,AC023632.2
11360,CELF6,AC093512.1
11361,GART,AC073896.5
11362,DNAJC5B,AP000777.3
11363,SNX21,LINC02831
11364,AC009054.2,SMCO3
11365,TMA16,LINC01465
11366,AC025465.1,AL135905.2
11367,LINC02414,LINC01702
11368,Z70719.1,LAMP5-AS1
11369,LINC01837,BTNL3
11370,AL355607.1,AP000432.1
11371,CUBN,IATPR
11372,HTR3E-AS1,AL590438.1
11373,AC012101.2,PBK
11374,NACAD,AL031733.2
11375,AC084855.1,ABHD16B
11376,WDFY1,AC084706.1
11377,UNC79,TRBV28
11378,MAL2-AS1,STIM2-AS1
11379,HPSE,AL096772.1
11380,DCAF12,AL353653.1
11381,AP000894.3,KNG1
11382,AC124016.1,MUC2
11383,AL356580.1,AC087045.2
11384,HPS4,AC111170.2
11385,AC013733.2,DINOL
11386,ASPRV1,MFSD12
11387,AK8,AP001922.2
11388,MOGS,AC110813.1
11389,ZNF732,AC026329.1
11390,AC024614.4,AC104791.1
11391,KDELR2,AC005828.5
11392,CALCA,AL606519.1
11393,CMTM2,AC007728.2
11394,HSD17B6,AC083843.3
11395,AC022400.4,IQCF5
11396,OR7A17,PRDM13
11397,AL356019.2,FAM122A
11398,CATSPER1,AP005202.2
11399,HSD3B7,AC109464.2
11400,EVPL,AL132990.1
11401,SNAP47,AP006222.2
11402,BX470102.1,EZR
11403,C2CD4C,AC008060.3
11404,AL022098.1,FP236315.1
11405,H6PD,P2RY12
11406,CPB1,AC093849.2
11407,AC105942.1,P2RY2
11408,MRPL12,SMG8
11409,FLVCR1,AC005324.5
11410,AC005253.1,NKAIN1
11411,AC239868.1,LINC01217
11412,DNAJB11,AL353759.1
11413,AC010642.2,SLC9A4
11414,CRTAP,AC022784.2
11415,JAG1,UGT1A1
11416,UEVLD,AL133355.1
11417,AC022167.4,LINC00430
11418,AC010230.1,AL353622.1
11419,AC116003.3,AC109136.1
11420,PMEL,AC023794.5
11421,CEBPB-AS1,EPS8L3
11422,FUZ,ZBTB45
11423,LINC01315,PLEKHA7
11424,POLR2C,AC025280.1
11425,NEU1,FAM83B
11426,AP003065.1,NACA2
11427,LINC02607,CBLL2
11428,ATP6V1FNB,AC027584.1
11429,RWDD2A,NFE2L2
11430,AC084782.1,LINC02084
11431,SLC8A1,AL161912.1
11432,MUC19,SDK1
11433,H19,CLEC1B
11434,CAV2,AC015802.1
11435,BET1,CNN1
11436,AC004014.1,GLYCTK-AS1
11437,TMEM9,AC116348.1
11438,OSGEPL1-AS1,AP001981.2
11439,PPP1R26,LINC01043
11440,AC008781.1,SIM1
11441,AC055822.1,AC006064.3
11442,AL807776.1,LINC01999
11443,PTPRG,KLRG2
11444,AF235103.3,AC022511.1
11445,AC000065.1,COL21A1
11446,NR1I2,AC011468.1
11447,ST18,AC092810.4
11448,ZRANB2-AS1,AC010735.2
11449,TTI1,AC090826.3
11450,ANKRD26,KCNQ1-AS1
11451,AL355601.1,MREG
11452,PSMG4,LINC02126
11453,SMPDL3A,AC099509.1
11454,STX5,AC110288.1
11455,APOBR,LINC02404
11456,WDFY2,OR2D3
11457,AC127002.2,AL121781.1
11458,RBMXL1,MEFV
11459,ABCA9,AC005726.2
11460,FARP1-AS1,AC078860.2
11461,TMEM230,PCDHB12
11462,TTLL9,SLC9A9-AS1
11463,NANS,AC109458.2
11464,AL591845.1,AC005790.1
11465,GALNTL6,TRGV7
11466,LINC01182,AC015631.1
11467,AC006450.3,AC068722.2
11468,AL021937.4,HMGA2-AS1
11469,AC008074.2,IDH1-AS1
11470,VCX3A,AC093725.2
11471,AC141586.3,AL354861.3
11472,AL365184.1,AC025576.3
11473,TTC31,AC021054.1
11474,AC093227.1,AL110115.2
11475,Z82202.2,AL139039.3
11476,SEMA6B,AC003035.1
11477,CCL4,CPA2
11478,GLIS1,UCA1
11479,AC007622.2,NTN3
11480,PIP4P1,C2CD4D
11481,LINC01339,RAVER1
11482,GLUD2,AADACL3
11483,CLIC1,AC073641.1
11484,AC022868.2,LINC02776
11485,AXIN2,TLR10
11486,GALNS,AC007218.1
11487,NAV2-AS2,AC048338.2
11488,AC069213.1,CSAG3
11489,CD7,AC124862.1
11490,LINC02282,C5orf66-AS2
11491,AL158064.1,AC084864.2
11492,JAGN1,AC015878.2
11493,AC090826.3,AL391863.2
11494,AC090921.1,IGHM
11495,AP002008.1,AC092079.2
11496,TAS2R13,AC003098.1
11497,PTRHD1,OR4C3
11498,TEX30,LINC01097
11499,AL591623.1,DHRS7
11500,CASKIN2,C4orf46
11501,DMAC2L,NANOGP11
11502,SPHK2,AC087468.2
11503,AC110926.2,AC092296.1
11504,AC092969.1,AC011503.2
11505,NOC2L,AC005840.4
11506,IL13,AC026355.3
11507,GTF2B,MTMR6
11508,AL357127.2,ZAR1L
11509,ZNF830,CRB3
11510,EXOSC9,AC084880.4
11511,AC145207.5,OR51Q1
11512,BX004807.1,C6orf120
11513,DSG3,BIN1
11514,LINC02586,GDF11
11515,AL132711.1,MME-AS1
11516,AC110491.1,NDNF
11517,AC109587.1,SETD1A
11518,BX004987.1,AC080112.1
11519,ZNF709,AC016993.1
11520,DLX2-DT,AC087292.1
11521,AL161734.1,AC022535.1
11522,MTFR1,STOML3
11523,AL355073.2,TCAF2C
11524,RNF128,AC115618.2
11525,AC068481.1,AL159158.1
11526,FGR,AC010976.2
11527,TAC4,AP001116.1
11528,LCP1,AP005436.2
11529,AP001924.1,AP006545.2
11530,AC245884.9,AC026100.1
11531,OR14I1,AC008805.2
11532,HEATR3,AL133476.1
11533,MAP3K6,AC009093.6
11534,LIG4,AC084768.1
11535,AC118658.1,AC010809.1
11536,ARHGAP9,AC055788.1
11537,C21orf91,AC021860.1
11538,GPR108,AC091564.2
11539,AC092384.3,DENND2D
11540,ZNF215,ELFN1-AS1
11541,DCTN6,AL158834.1
11542,AC106894.1,AC007952.7
11543,NMUR2,AC004012.1
11544,AL121985.1,VAMP4
11545,TRIML2,MAGEA9B
11546,E2F6,KRTAP19-5
11547,SUSD6,AC013644.1
11548,AC104472.4,IFNB1
11549,PPEF2,LTF
11550,ASIC1,NUB1
11551,PDE6G,CFAP300
11552,AL445985.2,AL359636.1
11553,MID2,TMF1
11554,AC024958.1,AC022001.3
11555,AC091705.1,COPZ2
11556,ZNF843,AC015969.1
11557,ECT2,AL031283.3
11558,CMTM1,C2orf83
11559,AC055714.1,AC061975.4
11560,LRRC14,LINC01641
11561,LINC02654,RUNX2-AS1
11562,LAG3,ATXN3L
11563,MCOLN1,LINC01047
11564,ARHGEF9,LINC00563
11565,AC008966.1,TAF7
11566,AC007878.1,AC007099.2
11567,SH2D7,AC233976.2
11568,GORASP1,AC104063.1
11569,AL109924.2,AC023946.1
11570,MAP6,LINC02372
11571,PSMD7,AC007938.1
11572,RNF25,C3orf56
11573,DECR2,TSPEAR
11574,NXPE1,EFCAB9
11575,HCG11,LEUTX
11576,CCDC39-AS1,AL109810.2
11577,C16orf91,LINC01228
11578,AC138356.3,AL512303.1
11579,MGAT1,FLT3LG
11580,TIMM23,C19orf84
11581,Z98884.1,AC087752.3
11582,CMPK1,IGHV3-23
11583,ZNF275,AC099654.15
11584,SYCE3,AC005695.3
11585,SLCO4A1,AC044839.3
11586,SPX,AC067968.2
11587,AC092687.3,LINC01350
11588,AP001542.3,FOXE1
11589,MYO1H,AL391845.1
11590,AL110114.1,PLA2G2E
11591,AC003102.1,SCGB1D1
11592,STX19,TRAJ11
