,bmi_<20,bmi_20-25,bmi_25-30,bmi_30+
22397,LINC02250,AC087399.1,MED18,ZPLD1
22398,AC007406.2,AC009039.1,APOL6,AL137191.1
22399,AL159174.1,AC011525.2,AL132822.1,AP003900.1
22400,AC010530.1,AC008940.1,AC110491.3,AC000403.1
22401,AL360006.1,ZNF30-AS1,AC117480.1,CBSL
22402,AC087260.1,AC106900.1,FBXL22,MYL7
22403,AL138963.1,ZNF90,CHKB-DT,ZNF716
22404,AL162727.1,AL445183.1,AF038458.3,AC004846.1
22405,TIAF1,AC106772.1,RAB31,AP000777.3
22406,APPBP2,PHF8,CCDC15-DT,KLRC3
22407,AL133480.1,C12orf56,LINC01837,AC107918.5
22408,HIST1H4F,AC005614.1,AC016949.1,Z82186.1
22409,AL162724.1,LENEP,SLC7A10,LINC02600
22410,AC009570.2,AL136090.1,SNHG31,AC004000.1
22411,ARHGAP23,AC243654.3,AC005014.2,KIF25
22412,AL929601.1,SLF1,ZC3H12A,GLYATL3
22413,AP001619.2,AC104964.1,AC007656.2,OR2T8
22414,AC093714.2,MMP27,MDGA1,PAQR6
22415,INHBC,AC006043.1,CTNS,AP000722.1
22416,AC055736.1,SLC35F1,HCN4,AC239868.1
22417,AC018878.1,AC105020.2,LINC02259,FCN1
22418,SCGB1D1,IGKJ5,MTA2,AL390778.1
22419,LINC01911,CD1A,AC105429.1,CNTF
22420,AC089985.1,AC024361.1,AL591002.1,AC060834.2
22421,CEP55,AL445255.1,PMP2,AC110015.1
22422,AC012081.1,AC092306.1,BCKDK,PADI1
22423,ZFYVE19,AC020763.1,CR381653.1,PPEF1-AS1
22424,PTBP2,AC080023.1,AP000941.1,AL031008.1
22425,BX255925.1,AL606970.4,AC013472.2,NARF-AS1
22426,AC092070.4,DNMT3L,AC027808.2,LINC01884
22427,PRPH,RIMKLA,DLX2,AC011899.2
22428,STX7,LINC02317,ZBTB9,AC007599.2
22429,AC092757.2,AC083843.1,SF3A2,AL109923.1
22430,TAS2R20,AP003419.3,PCIF1,LINC02196
22431,HCG11,ABRACL,SLURP2,LCK
22432,AC107909.1,DMP1,AC092353.1,AC091180.2
22433,AP002761.1,SH2D2A,AC012501.2,FUT8-AS1
22434,AC093484.3,NUDT1,LINC02811,AL365181.4
22435,LINC02702,RCC2-AS1,CLDN20,C11orf96
22436,AP002433.1,BPIFB3,AL353135.2,AC135178.6
22437,AC097065.2,TDGF1,DCDC2,AC084018.2
22438,ALMS1-IT1,AC107882.1,AL353689.3,AC128687.2
22439,ZBTB20-AS3,BX005214.2,AC011405.1,SACS-AS1
22440,KIAA0408,AC007656.1,EAF2,AL139317.3
22441,AC005034.5,LINC01664,PCDH17,AP003354.1
22442,AC008991.1,C2CD3,AC078789.1,AC146507.3
22443,AL512413.1,AC068483.1,EPOR,AC011365.1
22444,AQP6,ALG9-IT1,HSD17B10,SKAP1-AS1
22445,FBXW7-AS1,TRAJ47,TLX2,TPRX1
22446,SMIM2-IT1,DKK4,UTRN,AL049812.2
22447,AC018695.2,LINC01732,LINC01640,AC044798.3
22448,AC087045.2,LINC02225,SFRP4,AC018866.1
22449,FOXD4L1,LINC01649,LOH12CR2,TMEM190
22450,F2RL2,UBE2E1-AS1,Z69666.1,SMAD9-IT1
22451,AL162742.1,OR4E1,TBL3,IL2RA
22452,AL445235.1,LINC02185,PHEX-AS1,AL590652.1
22453,AL627309.2,AC061975.7,AL035409.1,AC021683.6
22454,EDDM3B,AC103952.1,SOD3,AL365184.1
22455,AC073987.1,AC083864.4,CENPL,PARPBP
22456,SLAIN2,SLC38A6,LINC00581,GPR4
22457,NUDT15,AC011453.1,Z97989.1,GINS4
22458,TBC1D3F,AC074389.1,AL049780.1,KLRC4
22459,MS4A18,OLR1,LINC02360,AP000777.2
22460,U91328.3,AC007879.5,AC005696.1,LINC00690
22461,GALNT3,AC008125.1,MIR497HG,PRDM7
22462,AL442071.2,AC018653.3,AL080317.2,AC078916.1
22463,AL358154.1,AC007991.4,SCGB1A1,AL049646.1
22464,AL031602.2,AL078599.2,HACD1,GNG8
22465,AL157373.1,LINC00567,AC012588.1,AC012593.1
22466,SLC6A5,RXFP3,PLIN3,AC099681.1
22467,MB,SUFU,AC087071.2,AC010491.2
22468,AC110619.1,GOLGA6L2,AC091078.1,TUB-AS1
22469,EHF,AC092100.1,AL160006.1,PSG6
22470,ILVBL,ITCH-IT1,AC099506.1,AL135936.1
22471,AC026100.1,TRGV5P,SH3BP1,AC017104.1
22472,AC245008.1,AC025048.7,MBD6,LSINCT5
22473,AC127526.4,ASPG,USP50,AC004832.1
22474,IL20,GAST,AL162394.1,SFTPA2
22475,THTPA,ATP2B2,ARRDC3,MATN4
22476,LINC00491,AC026585.1,GTF3C5,BCL2A1
22477,LINC01126,TRAJ26,ARVCF,AL022341.2
22478,AC087749.2,AC064805.1,PRMT6,AC026341.3
22479,HSD17B14,HCG17,AL121944.1,AC073316.1
22480,AC104051.1,AL359382.2,AC010641.2,LINC00899
22481,AC025259.1,CR381653.1,AC020661.2,LINC01828
22482,LINC01898,AC004156.1,KDM4D,LINC01375
22483,BTN2A1,CBWD1,AL353709.1,AC090948.3
22484,AL157413.1,POU4F1,TOMM34,AL021917.1
22485,NRK,SPATC1,AC004784.1,AC068057.1
22486,ELMO3,PTPRQ,AC079340.1,LINC02791
22487,ZNF254,FERD3L,PTPN23,AL161628.1
22488,AL136988.1,LINC01553,AC006063.2,PTGS2
22489,AF111169.3,AL355816.1,AL031772.1,AL133405.1
22490,AC011816.2,AL133268.3,SELENBP1,SERPINB11
22491,AC004832.1,NNT,CASP8,AL450423.1
22492,IPO4,AC243972.1,IKBKG,AC011246.1
22493,NAXD,LRRN4,C12orf50,AF129075.1
22494,AC079949.5,AC006441.1,PROCR,AL157937.1
22495,AL590491.2,AC099654.16,GLI1,ZNF878
22496,AC013437.1,AC022274.1,ALG1L2,AL592161.1
22497,AL008733.1,AL049794.2,PKN2-AS1,AC090061.1
22498,AC007333.2,THRSP,AL138824.1,CCDC33
22499,PXN-AS1,APOB,AC114546.1,AC076968.1
22500,OR52H1,AWAT2,AL390198.1,AC007684.2
22501,LINC01533,AC020907.3,MYB,AC084759.2
22502,VWC2L-IT1,AL591519.1,ELAC1,LINC02026
22503,AL445183.1,AL008638.4,SH2B1,AC092902.6
22504,TMCO1,AC100832.2,ZNF625,CHGA
22505,AFM,TCN2,AC012306.3,AL034397.2
22506,ARHGEF15,KRTAP11-1,PEX11A,AL121890.4
22507,LILRA5,AC061975.6,LINC02347,AP005482.1
22508,LRRC59,EZH2,ZBTB46,MUC4
22509,ISM1,LINC02817,PLEKHG3,KCNRG
22510,AL035696.1,ERICH1,OR5V1,SAPCD1
22511,AC007064.2,TGM3,CCNO,SMIM2-AS1
22512,AL359844.1,EXTL3,LINC02664,CALR3
22513,TAS2R46,AL136084.2,AC010168.2,OR8D4
22514,TRAV3,AC013269.1,LINC01908,AC025946.1
22515,AC092979.1,AL499602.1,AC079834.2,AC093496.1
22516,C19orf81,AC139720.2,LOXHD1,HTR2B
22517,AC019155.2,AP002954.2,AC016722.2,ATOH8
22518,PHYHIPL,AC073127.1,SPESP1,FOXD4L6
22519,GATD3B,ATP2A1-AS1,SCX,AL356055.1
22520,AC097515.1,AC019080.4,NPFFR1,LINC02063
22521,AL158207.2,GOLGA8K,AC006262.1,AC011389.2
22522,AC116366.1,SLC22A14,AC091153.2,LINC01794
22523,MYO16-AS1,AL592431.1,AC090125.2,AC091181.2
22524,LINC01002,MRGPRX2,AL121895.1,CGA
22525,AL512631.1,BTNL3,CNTN6,AC009276.1
22526,AC093610.1,AC062015.1,AC091691.3,AC034102.4
22527,S100A7,HTR1A,ACMSD,AC007179.1
22528,ACD,AL034345.2,LINC01951,AC022596.2
22529,OR14K1,AC004009.1,AC110809.1,AC005540.1
22530,AC006449.2,ESM1,MAGEE2,TMPRSS11F
22531,AC113370.1,AL136295.2,AC006452.1,LINC01879
22532,CDH2,AC119673.1,GPR55,CENPVL3
22533,FLG2,AKAP14,LINC002481,AL590640.1
22534,AC027279.1,POTEC,LCMT1-AS1,BSND
22535,OR4D2,GGH,C11orf97,AC145285.6
22536,AC013565.3,AC016044.1,PTGS2,AC134312.3
22537,AC004593.3,AL109837.3,CLIP1-AS1,TMPRSS11B
22538,AC019257.9,AC116609.1,TNFRSF1A,STEAP3-AS1
22539,TMEM39B,AC115220.3,LINC01422,ARAP1-AS2
22540,Z97056.2,ACTL7B,RAB11FIP3,AL031663.2
22541,AL359198.1,GUCY1A1,TRAPPC6A,AP000864.1
22542,PCGF6,AC015712.2,TBC1D3D,AC006059.5
22543,UTF1,HDAC11-AS1,AC107871.2,PARP15
22544,SLC6A2,LINC01221,AC008761.1,MYOC
22545,GGTLC1,GCG,AC008537.2,LUARIS
22546,CPZ,CST1,FBRS,PLG
22547,AL139423.2,AL139023.1,IPO4,MS4A8
22548,AC004012.1,AC003086.1,AC069421.3,GGN
22549,SNAP47-AS1,TP53INP1,AC013470.2,AP001007.3
22550,AC121761.2,RPF2,GCH1,FAM110D
22551,KLHL34,AL138921.2,CHST7,AC007993.3
22552,LINC02044,AC016587.1,ZDHHC20,AL031670.1
22553,AC008456.1,AP001056.1,C10orf67,LINC00466
22554,AC127024.5,PAPPA-AS1,AL512357.1,AC080129.2
22555,AL356124.2,AL354824.1,NANOS1,LINC00397
22556,NCAM1-AS1,AP000248.1,AC016583.2,AL008635.1
22557,AL136964.1,AC004129.3,NOD1,AC096675.1
22558,AC091729.3,AC008753.3,ZNF534,AC027271.1
22559,AC068790.7,AL357558.3,TEKT3,AC118757.1
22560,HSD17B6,ECHDC3,UCKL1-AS1,FAM83G
22561,CFHR4,NXF3,EIF4E1B,AL161665.1
22562,AL133243.1,PC,AC092910.3,AL122008.1
22563,ARHGAP29-AS1,LINC02612,AC128685.1,AL358074.1
22564,ZNF350,LINC02124,AL160191.1,AC008429.3
22565,ADIRF-AS1,TRAPPC3L,MAGI1-AS1,DNASE2B
22566,AL356756.1,AL157871.2,LINC02363,LINC02570
22567,AC008393.1,AC009133.2,SEMA4A,LINC00624
22568,PRR32,OR6Y1,ANKRD23,LINC00536
22569,SIRLNT,AC016813.1,ANO8,AL157756.1
22570,AC068580.2,TUSC8,ANKRD45,H19
22571,PRAC1,AC055764.1,ZNF143,AJ011931.2
22572,TRAV20,AC007278.2,SSC4D,AC004801.4
22573,AC009087.1,AL451049.1,AC069209.2,AVPR1A
22574,AC022211.1,AC006288.1,HS3ST3A1,C14orf180
22575,AL049541.2,AC243773.2,MYOZ3,PCYT1B-AS1
22576,LANCL2,AC006581.1,LINC02813,LCN1
22577,MMP11,AC107398.5,ITGAL,AP005482.3
22578,LRR1,AC138420.1,TNFSF18,AC116666.1
22579,AC106791.2,FREM1,GYS2,HGH1
22580,NDC1,AC015911.6,C22orf24,AC091132.4
22581,AC009884.1,AC037459.3,NLRX1,AC068787.4
22582,LINC01486,LINC02644,TMC4,CACNA1G-AS1
22583,MYH11,STIM2-AS1,GAS6-DT,AC131212.1
22584,TTC28-AS1,NKX2-5,FGF7,KLHL31
22585,PRKAR1A,AL645939.4,RAB17,DAB1-AS1
22586,AL662797.1,ADH6,ZNF517,ZIC4
22587,AL161757.2,C3,AC021739.4,AL390791.1
22588,AC090994.1,SIRPD,ANKDD1B,AL049840.6
22589,RIPPLY1,EGFLAM-AS4,CASC18,GPR68
22590,WDR87,LINC00430,RINL,BOK
22591,AC239804.1,CD68,C17orf100,CDSN
22592,XPNPEP2,TNKS2-AS1,AC008056.2,DARS-AS1
22593,AL513188.1,AC108125.1,EGF,BOK-AS1
22594,AP001180.2,AC009623.3,NT5C1A,TAT-AS1
22595,RAB35,AL353804.1,SPSB4,SMTNL1
22596,AC063952.4,ARL13B,AL583829.1,ERICD
22597,AC084824.3,NKG7,FBLIM1,LOXL1
22598,KF459542.1,NPSR1-AS1,KCTD15,AC102941.2
22599,MAL2-AS1,TRGV3,LIN9,TRIM77
22600,AC022893.3,MROH9,UCP3,AGAP1-IT1
22601,AL008636.1,AC008543.5,LINC01346,CDCP2
22602,OTUD6B-AS1,LINC01890,AC073896.3,AC008074.2
22603,ZNF781,AC009065.5,MMD2,TTR
22604,AC022447.2,BX546450.1,ZNF879,AL162386.2
22605,TRIM36,PACRG-AS1,AC106707.1,AC023136.1
22606,LINC02549,AC009313.1,TM6SF2,AC015982.2
22607,GNRH2,SPDYE4,AP003718.1,SELENOV
22608,AC067863.1,AC027763.2,BRCA1,AP001267.4
22609,CRYBA1,B3GALT5-AS1,AC139887.2,AC120049.1
22610,AP001531.1,SPATA8-AS1,AC087883.2,AL158212.2
22611,AC009167.1,HGF,ZNF79,FAM170A
22612,PMF1,AL512604.3,PTBP1,AP003557.2
22613,AD000671.3,AC108451.2,AP001160.1,AL133395.1
22614,AC060234.2,LY6K,EBF4,TTLL6
22615,LINC01164,EDA2R,AC022217.3,AC099518.1
22616,LINC00917,AC013549.1,ZNF703,AC092683.2
22617,BSN-DT,TTC4,C3orf49,RNF222
22618,AL138694.1,AC005381.1,AL662907.3,AC104137.1
22619,AC084030.1,AC104534.1,CROT,CRYGB
22620,FAM225A,AC010260.1,AL109627.1,AC092849.1
22621,AC009831.3,AC023511.1,LINC01089,AC097459.1
22622,OR5B3,AC016738.1,SLC49A3,AL162377.1
22623,LINC00678,AL133372.2,CDH9,CTAGE15
22624,LINC00681,MAFA,A2ML1,CPHXL
22625,AC106820.3,LAIR2,ENPP6,AC119800.1
22626,EIF2B4,KIAA1324,LINC02218,P2RY2
22627,AC104113.1,LINC00392,MTMR8,LINC02770
22628,SMG7-AS1,LINC02842,ZNF662,AL133268.4
22629,AC018607.1,OPN4,AC013468.1,EGOT
22630,AC005899.6,RAET1L,AC244453.3,AC107398.4
22631,AC106028.3,AC125421.1,SLC2A12,LINC00210
22632,AC021074.3,AC093821.1,AC245033.2,FAM3B
22633,AC131956.2,OR2B6,KIRREL1,CATSPER3
22634,ANKRD63,AC109927.2,CFAP65,MAFA-AS1
22635,AP000648.9,NEXMIF,AC106897.1,NHS-AS1
22636,AC106882.1,AC090348.1,DCHS1,AL807757.1
22637,AC106706.1,AL160314.2,AC092802.4,LINC00437
22638,AL157414.4,TAS2R40,NHLH1,DEPDC1
22639,AC068025.2,AL353752.2,LINC02163,AC012673.1
22640,CYP2B6,AL160408.5,LINC01637,AC123768.1
22641,AL050343.2,SLC25A26,ERN1,AC018690.1
22642,ACKR2,ZNF492,CAPS,AC006017.1
22643,AC007952.2,OOSP3,NAMA,AL121749.1
22644,AL391069.2,C22orf42,MINDY1,AC069287.3
22645,LINC02157,OXTR,LINC02040,AC018410.2
22646,AC011511.5,AC011899.3,AC005229.5,AL627230.1
22647,AC011461.1,AL136368.1,RGPD8,SCNN1G
22648,SLC46A2,LINC02373,AC011330.2,AL450992.3
22649,RDH11,ZNF197-AS1,FAM198B-AS1,AC066580.1
22650,HDGFL1,AC138028.3,AC073111.4,AC107881.1
22651,AL592494.1,TSPEAR-AS2,AC107081.2,APOBEC3F
22652,AC010245.1,AC022447.7,GPD2,CT69
22653,AC021146.12,MAP1LC3C,TIMD4,AC138932.5
22654,SLC39A5,AC097358.2,AC127526.2,LINC01303
22655,IMPACT,AC012301.1,KREMEN2,FRMPD3-AS1
22656,KRTAP7-1,IDO2,EDEM2,AL606469.1
22657,MAGI2-AS2,SNX14,AL159978.1,AC104819.3
22658,LINC02657,AC008609.1,FAM242C,AL353611.1
22659,AC015802.3,S100A2,CRHBP,AC089984.1
22660,AL136418.1,AF129075.1,AC023906.3,AC243547.2
22661,OTX2-AS1,AC090283.1,CDC25C,GPC5-AS1
22662,MED17,PSG7,GP1BA,AC005082.1
22663,AC092718.4,AC107373.3,PLN,AC104982.2
22664,AC124045.1,AVP,TP53I11,AC004908.3
22665,AC104831.1,ERICH6B,AC011416.4,ALX1
22666,LINC02580,AL590062.1,AC138150.1,AL359644.1
22667,SCNN1D,LINC01802,ZNF350,CNN2
22668,AC100802.1,AL139405.1,TEX12,AC009965.1
22669,AL391684.1,AC090994.1,AC017074.1,AC109492.1
22670,GADD45GIP1,AC125611.3,ALG1L9P,AC092645.2
22671,AC093752.2,ZNF433,LINC02105,AL355337.1
22672,NUDT1,AC240565.1,AL353693.1,AC104370.1
22673,GPR15,AC093732.2,DAW1,AC004801.6
22674,HNF1A-AS1,PCDHB15,FBXL6,GCOM1
22675,AC091057.6,AC023161.1,PRLHR,AC104785.1
22676,AC093001.2,AP001972.3,PCDHAC1,RHOA-IT1
22677,AC117528.1,BPNT1,LIG1,AL359710.1
22678,AC007599.2,LINC00942,AC093788.1,RNF144B
22679,DAND5,CSRP3,CIAO2A,LINC02022
22680,AC012313.8,VIL1,AC055839.2,SIX3-AS1
22681,AC099795.1,Z98200.1,AC134772.1,GOLGA8K
22682,PLCE1-AS1,NEK11,Z97056.2,AC016735.1
22683,CYP1A2,PHOX2B,MPV17L2,ACOT1
22684,BRICD5,ITSN1,AC004597.1,LGR5
22685,AC099811.3,PURPL,NAT16,LINC01871
22686,GSN,LINC02493,AC073270.2,CCN4
22687,AC084864.1,AC079035.1,OR7A5,AL163974.1
22688,AC108449.3,AL162586.2,AL136295.7,TCF15
22689,LNCARSR,NOL10,AC010967.1,AC079298.3
22690,LAMC2,AL583810.3,BCAT2,AC017116.1
22691,AL160408.6,AP002852.1,LACTB2,AC003035.2
22692,NXF2,AP000864.1,HBZ,LINC01632
22693,AC068898.1,AL109955.2,AL031590.1,HNF1A
22694,OAZ2,TMEM163,MAN2B1,AC008652.1
22695,AC005041.3,CSTA,C19orf71,Z80897.2
22696,AL135936.1,AC021269.3,AC113349.1,RASL12
22697,AC090692.3,OR14C36,AP001453.1,TEX26-AS1
22698,AC084834.1,AC013564.1,TIE1,AC008397.1
22699,Z93930.3,AC107391.1,TMEM42,AC064801.1
22700,AC090023.2,AP000696.1,SLIT3,COL18A1-AS1
22701,FAM111A-DT,OR10R2,AC005703.4,AC013402.1
22702,AC119396.2,LINC01490,ANKS4B,TMED1
22703,MIR122HG,RPA1,AC016394.2,AL596325.2
22704,MACC1-AS1,Z94277.1,HAND2-AS1,LINC02655
22705,RNASE13,AL445989.1,CD3EAP,AL390037.1
22706,LINC01702,AP000553.9,ETNK2,AL669970.1
22707,ZMYM4-AS1,AC002091.2,ADORA2A-AS1,AC007881.4
22708,AC103746.1,AC096586.1,AP003469.2,LINC02387
22709,CYP51A1-AS1,ARL6,AL391097.2,RSPH4A
22710,AF129075.2,EVX2,NFIA,AP001496.1
22711,PSKH2,AC008127.1,TUBA1C,SNCA-AS1
22712,SERPINB10,AC090735.1,EHD2,LINC02354
22713,LINC01808,TBX2,AC022973.3,AC011472.4
22714,SERF1B,ORM1,RHCG,LINC00944
22715,AC117435.1,IGF2BP2,AC012065.3,AC009754.1
22716,FAM199X,AL357127.1,ECRG4,ABCA4
22717,TMEM238L,AC079070.1,AC092171.3,SIRPG
22718,C12orf66,ZIM3,MED16,TMEM82
22719,AC025674.2,ACP5,AL512603.1,LCNL1
22720,AL133330.2,AC080112.1,AC005394.1,ADRA2C
22721,AP003721.3,AC131391.1,SOX15,AC008945.2
22722,LINC01975,AL109767.1,AC004803.1,LRRC70
22723,LINC02174,AC093849.3,ISLR,S1PR4
22724,NSUN5,BX322562.1,ZNF350-AS1,AL513128.1
22725,AC006063.1,RAET1E-AS1,FP700111.1,AP000688.4
22726,AP001790.1,TRMT2B,AC007375.3,AL138963.1
22727,GPC2,AL139327.2,TIGD3,AC004889.1
22728,LINC01427,AC087286.2,AC009779.2,LPP-AS1
22729,MYH9,LINC02501,CD40,LINC01499
22730,AL512770.1,LINC02280,ZNF20,AC087276.1
22731,SLC35G4,CSNK2A3,VAX2,AL049637.1
22732,RETN,LCN12,OPLAH,LINC02740
22733,XPO5,AL590483.2,FAM53A,AC016747.3
22734,AL359697.1,AP003032.1,CCNA1,AC069368.2
22735,AC007950.1,AL122023.1,AC116317.1,SLC5A2
22736,RECQL4,LINC02559,AC124944.3,GTSCR1
22737,AL157871.2,LINC01935,SLC9C2,AC093534.2
22738,ADAM20,AC008067.1,AC013716.1,ATP11AUN
22739,AL022162.1,TCP11X2,ANGPTL5,EZHIP
22740,MYEOV,AC073172.1,TBC1D8B,AC072061.1
22741,AL583825.1,AL355677.1,PLD2,DLGAP5
22742,LINC00513,LINC00905,MAFB,AL133493.1
22743,LINC00266-1,SYT8,ABCA7,AC139720.2
22744,ZMYND12,AC104453.1,ZBTB48,FAM216B
22745,AC016027.3,MGAM2,SMIM15-AS1,LINC01781
22746,LINC01747,AC107220.1,CLDN10,AL161729.4
22747,LINC02342,AC015802.4,PARD6G,AJ239328.1
22748,AP000857.2,UTF1,AC012101.2,MYO7B
22749,ATG12,AC025442.1,SPDEF,AL392083.2
22750,OR10G9,OR10G9,SELP,GBP5
22751,AC069234.2,LINC00583,ALKBH7,C22orf15
22752,AC007130.1,AL135790.1,MMACHC,AC091849.2
22753,PF4V1,SELENOV,AC015849.4,SMIM31
22754,SEMA4D,AL031767.2,LRRC69,AL953883.1
22755,IL26,ZNF32-AS1,JADE3,AC010327.4
22756,MIR5689HG,OR6P1,AC005332.2,AC104135.1
22757,LDLRAD2,LINC00554,RGR,AP000302.1
22758,AC074024.1,AC099685.1,AL023882.1,PEX5L-AS1
22759,AL136361.1,AL359547.1,ITFG1-AS1,DEPDC1-AS1
22760,AL450043.1,AL035665.2,Z95115.1,LINC01416
22761,LINC01153,KRTAP19-8,CBLN3,MYL9
22762,AL365181.2,OR1L4,AL355312.3,AC079148.1
22763,AC022166.1,AL358876.2,ATP6V0E2-AS1,AC103974.2
22764,MIR4500HG,AL592182.3,DOLPP1,LINC02108
22765,AC016596.1,AC090826.2,LINC01917,LINC02319
22766,AC017083.2,AC007269.1,GPRC5B,AIM2
22767,CENPF,LINC02711,KIF24,CPB1
22768,ELN-AS1,AC008764.5,RIOX1,METTL21C
22769,SFTPC,AC010223.1,AC004969.1,AC091488.1
22770,C9orf147,AC079630.1,RGPD3,AL356756.1
22771,AL049649.1,ZNF823,AC079148.1,MYCL
22772,LINC02707,AP003396.1,INCA1,AC139722.1
22773,CEBPA-DT,AC005697.3,DARS2,AP002449.1
22774,AC078889.1,AP003465.1,AL354696.2,AL645940.1
22775,HLTF-AS1,AC105219.2,GFRAL,AC006270.1
22776,PLUT,AC114291.1,AC002094.4,FSIP2-AS2
22777,AC093423.2,OR52L1,PTGES3L,LINC01224
22778,FASLG,AL390294.1,SERF1A,AL731769.1
22779,ATP6V1H,AL161804.1,AC137770.1,AC117473.1
22780,UBE2E1-AS1,AC104071.1,EVC,AC007064.2
22781,AC035139.2,LINC02132,LINC00365,TBC1D8-AS1
22782,AC092112.1,AC002044.1,AC107952.2,AC079015.1
22783,KIF4A,LINC01980,CDC14B,TRIM6
22784,AC004947.1,LINC00867,SHISAL2A,AL133370.1
22785,PEX5L,AC073218.1,MASP2,MAFF
22786,AC007846.1,LINC02550,ADAMTS19,AP001970.1
22787,AC073046.3,AC090016.1,CXXC1,AL391335.1
22788,AL121957.1,DISP1,DNAAF4,AC010894.2
22789,AC092802.2,AC005165.3,VPS9D1-AS1,RELA-DT
22790,LINC01871,AL365205.3,LINC00951,AC015921.1
22791,AC026108.2,IFNA21,AC009716.1,AC104472.4
22792,LINC00160,AP000820.1,APOBEC2,AC116609.1
22793,LINC02275,AC106822.1,BCO1,PGF
22794,FAM230E,MAGEC1,CPS1,AP003170.3
22795,AC006974.2,AC027682.2,PACC1,HIST1H2AG
22796,BRWD1,AP003065.1,KDF1,AL137026.1
22797,MMP2-AS1,ANXA8L1,SCN7A,AC102941.1
22798,USP41,AC124067.3,WDR53,PLSCR5
22799,AL136441.1,AL662873.1,ZNF835,AC024028.1
22800,BATF,AL121888.1,DNAH7,CBX2
22801,AL358072.1,LINC02260,LINC02730,LINC02444
22802,AC110769.2,AC021701.1,AL352984.1,CHRFAM7A
22803,NBAT1,H2AFB1,FP325330.3,AC099063.4
22804,AL442125.2,C17orf77,PITPNA-AS1,CD2
22805,FRG1,FSTL5,APRT,AC009152.1
22806,AC096708.2,AP000472.1,FBXW12,LINC00242
22807,AC080011.1,FOXF1,SNRNP48,LINC02436
22808,AC010677.2,AC091163.1,AC073091.4,RBP7
22809,AC092755.2,AC019055.1,AC007541.1,AL929236.1
22810,AC010834.2,REC114,CCDC117,B4GALT1-AS1
22811,AC113348.1,AC007406.1,AC242988.2,AC010727.1
22812,AC046143.2,ABI2,DLL1,FOXP3
22813,KIF4B,AC084864.1,AC004839.2,RASSF10-DT
22814,AC239584.1,CDKL5,AL355001.1,AC007686.2
22815,AL590666.3,KRTAP10-1,PIFO,PRNCR1
22816,AP003969.1,LINC00899,IL27,AC144450.1
22817,DPP9-AS1,AC005224.3,AP000857.2,AC135803.1
22818,DENND5A,AL583803.1,RNF217-AS1,C16orf86
22819,AC104170.2,AL591022.1,C20orf204,LINC01456
22820,AL512283.1,AC126323.6,AL034417.2,CCDC114
22821,AC021037.1,AC022929.2,LINC01440,AC005323.1
22822,SLC9A4,STX19,LRP3,AL365181.3
22823,AC025175.1,AC068724.3,AC090772.2,AL161725.1
22824,AC136944.4,AC051619.4,AC016816.1,AC116447.1
22825,RCOR1,AC095038.4,IZUMO1,AC078802.1
22826,AL021707.5,AC009093.4,TMTC1,AC011503.2
22827,EOMES,SALRNA1,AMDHD2,HBM
22828,AC096920.1,AC092338.1,KXD1,AC010273.3
22829,AC108463.3,TRDV2,ZNF418,AL137186.1
22830,AC011446.1,IGKV6-21,FAM66E,AC008750.7
22831,LINC02434,AC096996.2,AC139493.2,AC068481.1
22832,GPT2,AC004875.1,CNGA1,PSG8-AS1
22833,DDX11-AS1,AC074257.1,AC026748.3,AC132807.2
22834,AC087477.5,OSBPL10-AS1,FREM1,AL354743.2
22835,SH3RF2,AC244100.2,YBX3,AC106801.1
22836,TMEM30B,AC013553.3,COL13A1,LRRC3
22837,TMEM40,ZNF720,AL096706.1,AL512791.2
22838,ERBB4,IL26,CCDC74A,SPDYE9P
22839,ABCD2,AC068442.1,DNAH9,AL157769.1
22840,C16orf92,LINC01149,TSPAN15,AC126614.1
22841,CHRDL2,AL135936.1,PNPLA2,BX323046.2
22842,LINC01945,AC122710.2,PCDHGA12,AL136456.1
22843,AC011700.1,AC068389.2,AC104083.1,AC116634.1
22844,AC131235.3,AC004083.1,SLC25A39,AKR1D1
22845,AC069224.1,FBXO36-IT1,FANCL,AC104076.1
22846,AC099482.1,HTR1F,RND3,AC079942.1
22847,AC015660.5,AL157414.4,KIAA1257,LINC02346
22848,SPATA45,MC2R,AC092943.2,AC017074.2
22849,GATA1,LINC01153,SWI5,LINC01635
22850,EIF5,PRM1,AC138207.7,AC145343.1
22851,FAM25A,TRDJ3,AC025366.1,AC067817.2
22852,MCEMP1,AL162427.1,FAM131C,AC091691.2
22853,AC017104.1,LINC02640,CHAC1,AC127520.1
22854,CUL1,AC091962.1,CNGB3,MSX1
22855,ZBTB4,CDC42-AS1,C2CD6,LINC02801
22856,IGHGP,AC093725.2,ARMC2-AS1,AC106820.6
22857,CCNJ,AC090971.1,AC069224.1,LINC01988
22858,AC084064.1,AC004449.1,HGD,AL451007.3
22859,TMEM69,MDS2,UMODL1-AS1,TBX2-AS1
22860,AC026254.2,AL359397.1,MRPL55,AC233263.6
22861,AC069079.1,AC093503.1,SHMT1,AC115522.1
22862,BACH1-AS1,AC011396.1,NANP,AC097065.2
22863,IGHG3,TRAJ20,AC097500.1,AL353600.1
22864,AP002336.3,AC068672.1,ACTRT3,AC092473.2
22865,AL713868.1,AL080248.1,ACTR3C,PLEKHF1
22866,ZFP42,AL133499.1,MAD2L1,IGSF21-AS1
22867,NFYC,FGA,AC078842.1,AC140118.2
